gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
gene_4071,765.693063507303,0.992670870497336,0.261894240597904,3.79035013611247,1.5043507558656e-4,6.87771481394947e-4,0.992670870497336,1.98986543353189
gene_1506,181.387682006511,1.01335541844009,0.26754054771673,3.78767041888925,1.52066379686738e-4,6.94126948038751e-4,1.01335541844009,2.01860050338696
gene_566,160.851647726526,-1.28049057641567,0.338052365606,-3.78784681515313,1.5195848676858e-4,6.94126948038751e-4,1.28049057641567,-2.42921566288791
gene_174,221.592855953779,1.03752244930203,0.274088636674983,3.78535375230581,1.53490080028571e-4,6.99516152529261e-4,1.03752244930203,2.05269950891284
gene_4431,431.481110297687,1.13544725646463,0.299944472941171,3.78552485175257,1.5338450376857e-4,6.99516152529261e-4,1.13544725646463,2.19686658263704
gene_3478,211.039872176187,-1.0171519220746,0.268800527949353,-3.78403989692404,1.54303071802228e-4,7.02664937732298e-4,1.0171519220746,-2.02391951837749
gene_4680,579.291354490915,0.774216840387009,0.204653852604431,3.78305529328817,1.54914983154031e-4,7.04893788960162e-4,0.774216840387009,1.7102613926927
gene_523,216.476365480577,-1.07630340969108,0.28455467474566,-3.78241338207885,1.55315147213213e-4,7.06156388119476e-4,1.07630340969108,-2.10862626002208
gene_1248,476.412786637296,-1.15596147721613,0.305818572419566,-3.77989298710812,1.56895776999973e-4,7.12779867728369e-4,1.15596147721613,-2.22832780012665
gene_2440,129.709154186345,-1.11329704793322,0.294563103309247,-3.77948573811847,1.57152593788559e-4,7.13383540888759e-4,1.11329704793322,-2.16339491966469
gene_3901,246.602495524121,-0.952303084929555,0.252148031229778,-3.77676192943081,1.58880463608421e-4,7.20091298055175e-4,0.952303084929555,-1.93495911751139
gene_272,586.503384241861,-1.51324152096539,0.400701985058528,-3.77647622769915,1.59062733135473e-4,7.2035019034444e-4,1.51324152096539,-2.85450684321874
gene_3171,170.114563605168,-1.17560078261424,0.311619567424642,-3.77255123075199,1.61586773803102e-4,7.31205558184475e-4,1.17560078261424,-2.25886927646285
gene_1894,134.285233756034,1.28600864009572,0.340919804578633,3.77217346374225,1.61831681843498e-4,7.31738539427476e-4,1.28600864009572,2.43852479208755
gene_1601,2196.74853017093,0.801966279531942,0.212742481760327,3.76965744169247,1.63471761546609e-4,7.38574144004932e-4,0.801966279531942,1.74347572790843
gene_4608,366.112822740825,5.64691982900757,1.49852361574181,3.76832221373581,1.64348474871057e-4,7.41465477740853e-4,5.64691982900757,50.1062904615911
gene_2008,500.475396788538,0.989041490270254,0.262464236109431,3.76829051047506,1.64369344961315e-4,7.41465477740853e-4,0.989041490270254,1.98486583103702
gene_180,3461.78410392067,1.40368687818182,0.372798359479947,3.76527107077393,1.66368493699034e-4,7.49067778305631e-4,1.40368687818182,2.64576858119137
gene_3377,152.482780280989,-1.09584138695182,0.291018381027447,-3.76554011153153,1.66189439738391e-4,7.49067778305631e-4,1.09584138695182,-2.13737698160388
gene_1784,4815.72908849035,0.898633748999013,0.238671045362954,3.76515612789325,1.66445046638795e-4,7.49067778305631e-4,0.898633748999013,1.86429963078549
gene_799,347.161549907556,-0.844213931084904,0.224254423058113,-3.76453636709825,1.66858383990853e-4,7.50341295508868e-4,0.844213931084904,-1.79528629693364
gene_594,39.8421513241287,-1.64877878680218,0.438126398688848,-3.76324912567783,1.67719972083843e-4,7.53626978387668e-4,1.64877878680218,-3.13568097511405
gene_888,390.050591325928,6.34078301495992,1.68512452656874,3.76279789118675,1.68022985843456e-4,7.54399615066249e-4,6.34078301495992,81.0524008322105
gene_3889,719.747588494984,-0.784823949358498,0.209052182955452,-3.7542011676852,1.73895166943153e-4,7.80156337431636e-4,0.784823949358498,-1.72288206501023
gene_3368,216.496475082234,1.01585773884005,0.270714324982153,3.75250825351418,1.7507406612096e-4,7.84833586131031e-4,1.01585773884005,2.02210475632336
gene_3273,59.6288076697385,2.50159379956958,0.666740131178486,3.75197724358954,1.75445392710084e-4,7.85275023669706e-4,2.50159379956958,5.66310704273315
gene_3502,335.685118561223,-1.0099654573106,0.269175389979619,-3.75207205007513,1.75379041813318e-4,7.85275023669706e-4,1.0099654573106,-2.01386288127936
gene_1260,2348.53305938846,0.724198910706379,0.19316303743787,3.74915884691093,1.77428680742106e-4,7.93534954430119e-4,0.724198910706379,1.65198308033886
gene_4633,121.418133622177,1.10540817905061,0.294960262284068,3.74765119372597,1.78498242854394e-4,7.97698669153641e-4,1.10540817905061,2.15159744230829
gene_3048,438.198879233215,1.01279623664772,0.270361321725139,3.74608405590416,1.79616428792251e-4,8.02073052077734e-4,1.01279623664772,2.01781825496168
gene_647,36.3102395316648,5.53179896530404,1.47788035829268,3.74306278195255,1.81790784544641e-4,8.11153299099966e-4,5.53179896530404,46.2633863291815
gene_616,463.112949111433,0.813385420855189,0.217344171552208,3.74238432549735,1.82282448111402e-4,8.12717096304591e-4,0.813385420855189,1.7573303505125
gene_3890,219.645584694977,-1.26856449100423,0.339023025215331,-3.7418239961681,1.82689449672074e-4,8.1390129435949e-4,1.26856449100423,-2.40921724538181
gene_2146,60.0472126333032,1.69953525083594,0.454270756125164,3.74123851892344,1.83115630337615e-4,8.15169039615864e-4,1.69953525083594,3.24796311942838
gene_1510,74.9029338097938,-1.29512289510877,0.346392715883928,-3.73888605539487,1.84837476481011e-4,8.22198233867619e-4,1.29512289510877,-2.45397898632738
gene_4118,41.7764272141054,-1.66679285631295,0.445979289954695,-3.73737725911504,1.8594981345121e-4,8.25869696161394e-4,1.66679285631295,-3.17507980966401
